artist_name,track_uri,artist_uri,track_name,album_uri,duration_ms.x,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms.y,time_signature,pid,genre
G-Eazy,spotify:track:4HnPZXkx15Y5hfBWh9vtQL,spotify:artist:02kJSzxNuaWGqwubyUba0Z,Lady Killers (feat. Hoodie Allen),spotify:album:1wRnE3zgCE5oY28pzmlsqe,249400,Must Be Nice,0.394,0.771,3,-6.873,1,0.29,0.00193,0,0.114,0.548,145.947,audio_features,4HnPZXkx15Y5hfBWh9vtQL,https://api.spotify.com/v1/tracks/4HnPZXkx15Y5hfBWh9vtQL,https://api.spotify.com/v1/audio-analysis/4HnPZXkx15Y5hfBWh9vtQL,249401,4
G-Eazy,spotify:track:5DSr1NMci58MEgS20vivSL,spotify:artist:02kJSzxNuaWGqwubyUba0Z,Let's Get Lost,spotify:album:6wDc63NhKy2PyXdbhkRmrl,240680,These Things Happen,0.671,0.672,4,-9.188,0,0.12,0.103,3.98e-05,0.074,0.186,117.96,audio_features,5DSr1NMci58MEgS20vivSL,https://api.spotify.com/v1/tracks/5DSr1NMci58MEgS20vivSL,https://api.spotify.com/v1/audio-analysis/5DSr1NMci58MEgS20vivSL,240680,4
G-Eazy,spotify:track:3Uw0h4GVLVjoUEToSWe0gY,spotify:artist:02kJSzxNuaWGqwubyUba0Z,Almost Famous,spotify:album:6wDc63NhKy2PyXdbhkRmrl,268920,These Things Happen,0.696,0.522,9,-9.489,0,0.0872,0.0337,6.35e-06,0.113,0.0934,124.025,audio_features,3Uw0h4GVLVjoUEToSWe0gY,https://api.spotify.com/v1/tracks/3Uw0h4GVLVjoUEToSWe0gY,https://api.spotify.com/v1/audio-analysis/3Uw0h4GVLVjoUEToSWe0gY,268920,4
G-Eazy,spotify:track:7xmCwWVmWBawnIzRUdg3Nr,spotify:artist:02kJSzxNuaWGqwubyUba0Z,Marilyn (feat. Dominique Le Jeune),spotify:album:1wRnE3zgCE5oY28pzmlsqe,196216,Must Be Nice,0.435,0.641,10,-7.274,1,0.104,0.131,0,0.273,0.156,115.534,audio_features,7xmCwWVmWBawnIzRUdg3Nr,https://api.spotify.com/v1/tracks/7xmCwWVmWBawnIzRUdg3Nr,https://api.spotify.com/v1/audio-analysis/7xmCwWVmWBawnIzRUdg3Nr,196216,3
G-Eazy,spotify:track:4jURQLDdnZp6l3PsvxJaZk,spotify:artist:02kJSzxNuaWGqwubyUba0Z,Been On,spotify:album:6wDc63NhKy2PyXdbhkRmrl,208866,These Things Happen,na,0.655,1,-7.985,0,0.507,0.105,0,0.0939,0.316,160.415,audio_features,4jURQLDdnZp6l3PsvxJaZk,https://api.spotify.com/v1/tracks/4jURQLDdnZp6l3PsvxJaZk,https://api.spotify.com/v1/audio-analysis/4jURQLDdnZp6l3PsvxJaZk,208867,4
G-Eazy,spotify:track:0htTZnlk6okQ1HIq4EvFQ6,spotify:artist:02kJSzxNuaWGqwubyUba0Z,Rebel,spotify:album:6liIoWzpvrff945pUI7fHt,210129,Rebel - Single,0.682,0.911,4,-5.404,0,0.274,0.143,0,0.107,0.547,140.079,audio_features,0htTZnlk6okQ1HIq4EvFQ6,https://api.spotify.com/v1/tracks/0htTZnlk6okQ1HIq4EvFQ6,https://api.spotify.com/v1/audio-analysis/0htTZnlk6okQ1HIq4EvFQ6,210129,4
G-Eazy,spotify:track:1TNKy5UovHZyVm1JQNEM3X,spotify:artist:02kJSzxNuaWGqwubyUba0Z,Mad (feat. Devon Baldwin),spotify:album:2fZTgbUpHnURuIGjTfq4Bh,190746,Mad (feat. Devon Baldwin),0.623,0.783,7,-7.828,1,0.0686,0.13,0,0.135,0.347,133.969,audio_features,1TNKy5UovHZyVm1JQNEM3X,https://api.spotify.com/v1/tracks/1TNKy5UovHZyVm1JQNEM3X,https://api.spotify.com/v1/audio-analysis/1TNKy5UovHZyVm1JQNEM3X,190746,4
Bobby Brackins,spotify:track:1N2G6R3Rtbr7gLCL4j4d1p,spotify:artist:72rsQfzxNVLPpbzQzXVJSc,Hot Box,spotify:album:3gioCmiIcOvqNRWBpMYrr5,258021,To Live For,0.635,0.679,6,-5.163,1,0.0604,0.00845,0,0.165,0.453,101.004,audio_features,1N2G6R3Rtbr7gLCL4j4d1p,https://api.spotify.com/v1/tracks/1N2G6R3Rtbr7gLCL4j4d1p,https://api.spotify.com/v1/audio-analysis/1N2G6R3Rtbr7gLCL4j4d1p,258022,4
Kid Cudi,spotify:track:7m47Go71qTMBs4kTH7U8F8,spotify:artist:0fA0VVWsXO9YnASrzqfmYu,Pursuit Of Happiness - Extended Steve Aoki Remix (Explicit),spotify:album:5wgcGZb5ESiAS30iiPyNwq,373546,Pursuit Of Happiness,0.722,0.687,0,-5.189,1,0.0556,0.00949,0.00413,0.0462,0.619,128.013,audio_features,7m47Go71qTMBs4kTH7U8F8,https://api.spotify.com/v1/tracks/7m47Go71qTMBs4kTH7U8F8,https://api.spotify.com/v1/audio-analysis/7m47Go71qTMBs4kTH7U8F8,373547,4
Kid Cudi,spotify:track:6XkuklKiHYVTlVvWlTgQYP,spotify:artist:0fA0VVWsXO9YnASrzqfmYu,Erase Me - Main,spotify:album:08eM9GRdr5BCCHNqS3Wwud,192253,Man On The Moon II: The Legend Of Mr. Rager,0.687,0.631,9,-5.612,1,0.129,0.063,0,0.108,0.853,186.071,audio_features,6XkuklKiHYVTlVvWlTgQYP,https://api.spotify.com/v1/tracks/6XkuklKiHYVTlVvWlTgQYP,https://api.spotify.com/v1/audio-analysis/6XkuklKiHYVTlVvWlTgQYP,192253,4
Snoop Dogg,spotify:track:6YbhspuOar1D9WSSnfe7ds,spotify:artist:7hJcb9fa4alzcOq3EaNPoG,Young, Wild & Free (feat. Bruno Mars) - feat. Bruno Mars,spotify:album:12pnVAswzLE6hArSl0bF0h,207346,Mac and Devin Go To High School (Music From and Inspired By The Movie),0.553,0.652,0,-6.685,1,0.206,0.0897,0,0.111,0.551,94.505,audio_features,6YbhspuOar1D9WSSnfe7ds,https://api.spotify.com/v1/tracks/6YbhspuOar1D9WSSnfe7ds,https://api.spotify.com/v1/audio-analysis/6YbhspuOar1D9WSSnfe7ds,207347,4
Wiz Khalifa,spotify:track:5mUL84pTkvpDFL5BQ8xGnv,spotify:artist:137W8MRPWKqSmrBGDBFSop,Goodbye,spotify:album:1UajesH5Cdq5Ezu3o3f6si,195123,Deal Or No Deal,0.699,0.882,9,-5.471,1,0.331,0.119,0,0.318,0.539,76.025,audio_features,5mUL84pTkvpDFL5BQ8xGnv,https://api.spotify.com/v1/tracks/5mUL84pTkvpDFL5BQ8xGnv,https://api.spotify.com/v1/audio-analysis/5mUL84pTkvpDFL5BQ8xGnv,195123,4
Wiz Khalifa,spotify:track:34BvO1DOwjZ9pHBRiC31tE,spotify:artist:137W8MRPWKqSmrBGDBFSop,Studio Lovin’,spotify:album:1UajesH5Cdq5Ezu3o3f6si,259717,Deal Or No Deal,0.7,0.626,9,-8.185,1,0.278,0.106,0,0.343,0.692,136.025,audio_features,34BvO1DOwjZ9pHBRiC31tE,https://api.spotify.com/v1/tracks/34BvO1DOwjZ9pHBRiC31tE,https://api.spotify.com/v1/audio-analysis/34BvO1DOwjZ9pHBRiC31tE,259717,4
Wiz Khalifa,spotify:track:18NezaQ1GIzJkvZx9hG0bX,spotify:artist:137W8MRPWKqSmrBGDBFSop,This Plane,spotify:album:1UajesH5Cdq5Ezu3o3f6si,197124,Deal Or No Deal,0.656,0.849,6,-5.62,0,0.136,0.103,0,0.428,0.715,170.051,audio_features,18NezaQ1GIzJkvZx9hG0bX,https://api.spotify.com/v1/tracks/18NezaQ1GIzJkvZx9hG0bX,https://api.spotify.com/v1/audio-analysis/18NezaQ1GIzJkvZx9hG0bX,197125,4
Wiz Khalifa,spotify:track:3SQyMYcTwAwWWjzT9WqQEg,spotify:artist:137W8MRPWKqSmrBGDBFSop,Boarding Pass,spotify:album:1XCdNQ4u8CXWVA8cJEDgV8,156213,Flight School,0.555,0.875,10,-5.421,0,0.313,0.00427,0,0.283,0.452,86.759,audio_features,3SQyMYcTwAwWWjzT9WqQEg,https://api.spotify.com/v1/tracks/3SQyMYcTwAwWWjzT9WqQEg,https://api.spotify.com/v1/audio-analysis/3SQyMYcTwAwWWjzT9WqQEg,156213,1
Wiz Khalifa,spotify:track:5Mwaoz7ScjVEbgya1HG7kF,spotify:artist:137W8MRPWKqSmrBGDBFSop,Teach You To Fly,spotify:album:1XCdNQ4u8CXWVA8cJEDgV8,226923,Flight School,0.739,0.755,8,-6.025,0,0.0395,0.0687,0,0.063,0.588,123.014,audio_features,5Mwaoz7ScjVEbgya1HG7kF,https://api.spotify.com/v1/tracks/5Mwaoz7ScjVEbgya1HG7kF,https://api.spotify.com/v1/audio-analysis/5Mwaoz7ScjVEbgya1HG7kF,226923,4
Wiz Khalifa,spotify:track:2R6RRpbjQ9zSSzdqHMoisV,spotify:artist:137W8MRPWKqSmrBGDBFSop,Never Ever,spotify:album:1XCdNQ4u8CXWVA8cJEDgV8,295173,Flight School,0.382,0.803,10,-6.136,0,0.336,0.109,0,0.15,0.661,70.877,audio_features,2R6RRpbjQ9zSSzdqHMoisV,https://api.spotify.com/v1/tracks/2R6RRpbjQ9zSSzdqHMoisV,https://api.spotify.com/v1/audio-analysis/2R6RRpbjQ9zSSzdqHMoisV,295173,4
Wiz Khalifa,spotify:track:2JwpLzz2K2Wwl77JhmLSdt,spotify:artist:137W8MRPWKqSmrBGDBFSop,Hollywood Hoes,spotify:album:1XCdNQ4u8CXWVA8cJEDgV8,131213,Flight School,0.446,0.924,10,-6.162,0,0.293,0.0376,0,0.533,0.323,94.941,audio_features,2JwpLzz2K2Wwl77JhmLSdt,https://api.spotify.com/v1/tracks/2JwpLzz2K2Wwl77JhmLSdt,https://api.spotify.com/v1/audio-analysis/2JwpLzz2K2Wwl77JhmLSdt,131213,4
Wiz Khalifa,spotify:track:3aTB0sCbwVOuH71ZDYCz5y,spotify:artist:137W8MRPWKqSmrBGDBFSop,Poppin Rubberbands,spotify:album:5OgsnjK4e1JPtMzfp603n8,217052,Prince Of The City 2,0.691,0.546,0,-4.994,1,0.113,0.257,0,0.208,0.0615,148.066,audio_features,3aTB0sCbwVOuH71ZDYCz5y,https://api.spotify.com/v1/tracks/3aTB0sCbwVOuH71ZDYCz5y,https://api.spotify.com/v1/audio-analysis/3aTB0sCbwVOuH71ZDYCz5y,217053,4
