,href,id,name,popularity,type,uri,genres_str,total_followers
0,https://api.spotify.com/v1/artists/2wIVse2owClT7go1WT98tk,2wIVse2owClT7go1WT98tk,Missy Elliott,69,artist,spotify:artist:2wIVse2owClT7go1WT98tk,"dance pop,hip hop,hip pop,neo soul,pop rap,r&b,rap,urban contemporary,virginia hip hop",2474813
1,https://api.spotify.com/v1/artists/26dSoYclwsYLMAKD3tpOr4,26dSoYclwsYLMAKD3tpOr4,Britney Spears,79,artist,spotify:artist:26dSoYclwsYLMAKD3tpOr4,"dance pop,pop",14659857
2,https://api.spotify.com/v1/artists/6vWDO969PvNqNYHIOW5v0m,6vWDO969PvNqNYHIOW5v0m,Beyoncé,86,artist,spotify:artist:6vWDO969PvNqNYHIOW5v0m,"pop,r&b",37985776
3,https://api.spotify.com/v1/artists/31TPClRtHm23RisEBtV3X7,31TPClRtHm23RisEBtV3X7,Justin Timberlake,80,artist,spotify:artist:31TPClRtHm23RisEBtV3X7,"dance pop,pop",14131449
4,https://api.spotify.com/v1/artists/5EvFsr3kj42KNv97ZEnqij,5EvFsr3kj42KNv97ZEnqij,Shaggy,71,artist,spotify:artist:5EvFsr3kj42KNv97ZEnqij,"dance pop,pop rap,reggae fusion",2196808
5,https://api.spotify.com/v1/artists/23zg3TcAtWQy7J6upgbUnj,23zg3TcAtWQy7J6upgbUnj,USHER,80,artist,spotify:artist:23zg3TcAtWQy7J6upgbUnj,"atl hip hop,contemporary r&b,dance pop,pop,r&b,rap,south carolina hip hop,urban contemporary",11548368
6,https://api.spotify.com/v1/artists/6wPhSqRtPu1UhRCDX5yaDJ,6wPhSqRtPu1UhRCDX5yaDJ,The Pussycat Dolls,67,artist,spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ,"dance pop,girl group,pop",5638353
7,https://api.spotify.com/v1/artists/1Y8cdNmUJH7yBTd9yOvr5i,1Y8cdNmUJH7yBTd9yOvr5i,Destiny's Child,69,artist,spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i,"dance pop,girl group,pop,r&b,urban contemporary",7217713
8,https://api.spotify.com/v1/artists/1G9G7WwrXka3Z1r7aIDjI7,1G9G7WwrXka3Z1r7aIDjI7,Outkast,74,artist,spotify:artist:1G9G7WwrXka3Z1r7aIDjI7,"atl hip hop,dirty south rap,hip hop,old school atlanta hip hop,rap,southern hip hop",2670181
9,https://api.spotify.com/v1/artists/2jw70GZXlAI8QzWeY2bgRc,2jw70GZXlAI8QzWeY2bgRc,Nelly Furtado,75,artist,spotify:artist:2jw70GZXlAI8QzWeY2bgRc,"canadian latin,canadian pop,dance pop,pop",3893509
10,https://api.spotify.com/v1/artists/2Hjj68yyUPiC0HKEOigcEp,2Hjj68yyUPiC0HKEOigcEp,Jesse McCartney,58,artist,spotify:artist:2Hjj68yyUPiC0HKEOigcEp,"dance pop,pop,post-teen pop",1022527
11,https://api.spotify.com/v1/artists/27FGXRNruFoOdf1vP8dqcH,27FGXRNruFoOdf1vP8dqcH,Cassie,65,artist,spotify:artist:27FGXRNruFoOdf1vP8dqcH,"dance pop,hip pop,pop rap,r&b,urban contemporary",1599794
12,https://api.spotify.com/v1/artists/0f5nVCcR06GX8Qikz0COtT,0f5nVCcR06GX8Qikz0COtT,Omarion,59,artist,spotify:artist:0f5nVCcR06GX8Qikz0COtT,"dance pop,hip pop,r&b,rap,southern hip hop,trap,urban contemporary",2892691
13,https://api.spotify.com/v1/artists/0p4nmQO2msCgU4IF37Wi3j,0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,75,artist,spotify:artist:0p4nmQO2msCgU4IF37Wi3j,"canadian pop,candy pop,dance pop,pop",10985912
14,https://api.spotify.com/v1/artists/7bXgB6jMjp9ATFy66eO08Z,7bXgB6jMjp9ATFy66eO08Z,Chris Brown,86,artist,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,"r&b,rap",22035937
15,https://api.spotify.com/v1/artists/4TKTii6gnOnUXQHyuo9JaD,4TKTii6gnOnUXQHyuo9JaD,Sheryl Crow,66,artist,spotify:artist:4TKTii6gnOnUXQHyuo9JaD,"lilith,new wave pop,permanent wave,pop rock,singer-songwriter",1177805
16,https://api.spotify.com/v1/artists/1yxSLGMDHlW21z4YXirZDS,1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,78,artist,spotify:artist:1yxSLGMDHlW21z4YXirZDS,"dance pop,pop,pop rap",8170136
17,https://api.spotify.com/v1/artists/5ND0mGcL9SKSjWIjPd0xIb,5ND0mGcL9SKSjWIjPd0xIb,Bowling For Soup,60,artist,spotify:artist:5ND0mGcL9SKSjWIjPd0xIb,"neon pop punk,pop punk,pop rock,texas pop punk",1139746
18,https://api.spotify.com/v1/artists/01lz5VBfkMFDteSA9pKJuP,01lz5VBfkMFDteSA9pKJuP,The Click Five,46,artist,spotify:artist:01lz5VBfkMFDteSA9pKJuP,"boy band,neon pop punk,pixie,pop punk",243917
19,https://api.spotify.com/v1/artists/7gOdHgIoIKoe4i9Tta6qdD,7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,73,artist,spotify:artist:7gOdHgIoIKoe4i9Tta6qdD,"boy band,pop",7596808
20,https://api.spotify.com/v1/artists/5qK5bOC6wLtuLhG5KvU17c,5qK5bOC6wLtuLhG5KvU17c,Lil Mama,47,artist,spotify:artist:5qK5bOC6wLtuLhG5KvU17c,"hip pop,trap queen",91139
21,https://api.spotify.com/v1/artists/0N0d3kjwdY2h7UVuTdJGfp,0N0d3kjwdY2h7UVuTdJGfp,Cascada,67,artist,spotify:artist:0N0d3kjwdY2h7UVuTdJGfp,"eurodance,europop,german techno,melbourne bounce international",524683
22,https://api.spotify.com/v1/artists/07YZf4WDAMNwqr4jfgOZ8y,07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,77,artist,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y,"dance pop,pop",12049550
23,https://api.spotify.com/v1/artists/21E3waRsmPlU7jZsS13rcj,21E3waRsmPlU7jZsS13rcj,Ne-Yo,80,artist,spotify:artist:21E3waRsmPlU7jZsS13rcj,"dance pop,pop,r&b,urban contemporary",8841994
24,https://api.spotify.com/v1/artists/5YGY8feqx7naU7z4HrwZM6,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,82,artist,spotify:artist:5YGY8feqx7naU7z4HrwZM6,pop,24149626
